ticker,sector
ADANIENT,Unknown
ADANIGREEN,Unknown
ADANIENSOL,Unknown
ADANIPORTS,Unknown
APOLLOHOSP,Unknown
ASIANPAINT,Unknown
AXISBANK,Unknown
BAJAJ-AUTO,Unknown
BAJAJFINSV,Unknown
BAJFINANCE,Unknown
BANDHANBNK,Unknown
BANKBARODA,Unknown
BERGEPAINT,Unknown
BHARTIARTL,Unknown
BIOCON,Unknown
BOSCHLTD,Unknown
BPCL,Unknown
BRITANNIA,Unknown
CIPLA,Unknown
CHOLAFIN,Unknown
COALINDIA,Unknown
COLPAL,Unknown
DABUR,Unknown
DMART,Unknown
DLF,Unknown
DIVISLAB,Unknown
DRREDDY,Unknown
EICHERMOT,Unknown
GAIL,Unknown
GLAND,Unknown
GODREJCP,Unknown
GRASIM,Unknown
HAVELLS,Unknown
HCLTECH,Unknown
HDFCBANK,Unknown
HDFCLIFE,Unknown
HEROMOTOCO,Unknown
HINDALCO,Unknown
HINDUNILVR,Unknown
ICICIBANK,Unknown
ICICIGI,Unknown
ICICIPRULI,Unknown
IGL,Unknown
INDIGO,Unknown
INDUSINDBK,Unknown
INFY,Unknown
ITC,Unknown
JSWSTEEL,Unknown
KOTAKBANK,Unknown
LT,Unknown
LTIM,Unknown
LUPIN,Unknown
M&M,Unknown
MARICO,Unknown
MARUTI,Unknown
MCDOWELL-N,Unknown
MOTHERSON,Unknown
MUTHOOTFIN,Unknown
NAUKRI,Unknown
NESTLEIND,Unknown
NTPC,Unknown
ONGC,Unknown
PFC,Unknown
PIDILITIND,Unknown
PIIND,Unknown
POWERGRID,Unknown
SBICARD,Unknown
SBILIFE,Unknown
SBIN,Unknown
SHREECEM,Unknown
SHRIRAMFIN,Unknown
SIEMENS,Unknown
SRF,Unknown
SUNPHARMA,Unknown
TATACOMM,Unknown
TATACONSUM,Unknown
TATAMOTORS,Unknown
TATAPOWER,Unknown
TATASTEEL,Unknown
TCS,Unknown
TECHM,Unknown
TITAN,Unknown
TORNTPHARM,Unknown
TORNTPOWER,Unknown
TVSMOTOR,Unknown
ULTRACEMCO,Unknown
UPL,Unknown
VEDL,Unknown
VOLTAS,Unknown
WIPRO,Unknown
ZYDUSLIFE,Unknown
ABBOTINDIA,Unknown
AMBUJACEM,Unknown
CANBK,Unknown
HAL,Unknown
LICI,Unknown
CUMMINSIND,Unknown
HINDPETRO,Unknown
BEL,Unknown
PAGEIND,Unknown
POLYCAB,Unknown
IDFCFIRSTB,Unknown
OBEROIRLTY,Unknown
INDHOTEL,Unknown
UBL,Unknown
AUBANK,Unknown
