ticker,ticker_nse,ticker_yf,sector
3MINDIA,3MINDIA,3MINDIA.NS,Industrials
AARTIDRUGS,AARTIDRUGS,AARTIDRUGS.NS,Healthcare
AARTIIND,AARTIIND,AARTIIND.NS,Basic Materials
AAVAS,AAVAS,AAVAS.NS,Financial Services
ABB,ABB,ABB.NS,Industrials
ABBOTINDIA,ABBOTINDIA,ABBOTINDIA.NS,Healthcare
ABCAPITAL,ABCAPITAL,ABCAPITAL.NS,Financial Services
ABFRL,ABFRL,ABFRL.NS,Consumer Cyclical
ACC,ACC,ACC.NS,Basic Materials
ADANIENSOL,ADANIENSOL,ADANIENSOL.NS,Utilities
ADANIENT,ADANIENT,ADANIENT.NS,Energy
ADANIGREEN,ADANIGREEN,ADANIGREEN.NS,Utilities
ADANIPORTS,ADANIPORTS,ADANIPORTS.NS,Industrials
ADVENZYMES,ADVENZYMES,ADVENZYMES.NS,Basic Materials
AFFLE,AFFLE,AFFLE.NS,Communication Services
AIAENG,AIAENG,AIAENG.NS,Industrials
AJANTPHARM,AJANTPHARM,AJANTPHARM.NS,Healthcare
AKZOINDIA,AKZOINDIA,AKZOINDIA.NS,Basic Materials
ALEMBICLTD,ALEMBICLTD,ALEMBICLTD.NS,Real Estate
ALKEM,ALKEM,ALKEM.NS,Healthcare
ALKYLAMINE,ALKYLAMINE,ALKYLAMINE.NS,Basic Materials
ALOKINDS,ALOKINDS,ALOKINDS.NS,Consumer Cyclical
AMBER,AMBER,AMBER.NS,Consumer Cyclical
AMBUJACEM,AMBUJACEM,AMBUJACEM.NS,Basic Materials
APLAPOLLO,APLAPOLLO,APLAPOLLO.NS,Basic Materials
APLLTD,APLLTD,APLLTD.NS,Healthcare
APOLLOHOSP,APOLLOHOSP,APOLLOHOSP.NS,Healthcare
APOLLOTYRE,APOLLOTYRE,APOLLOTYRE.NS,Consumer Cyclical
ASAHIINDIA,ASAHIINDIA,ASAHIINDIA.NS,Consumer Cyclical
ASHOKA,ASHOKA,ASHOKA.NS,Industrials
ASHOKLEY,ASHOKLEY,ASHOKLEY.NS,Industrials
ASIANPAINT,ASIANPAINT,ASIANPAINT.NS,Basic Materials
ASTERDM,ASTERDM,ASTERDM.NS,Healthcare
ASTRAL,ASTRAL,ASTRAL.NS,Industrials
ASTRAZEN,ASTRAZEN,ASTRAZEN.NS,Healthcare
ATGL,ATGL,ATGL.NS,Utilities
ATUL,ATUL,ATUL.NS,Basic Materials
AUBANK,AUBANK,AUBANK.NS,Financial Services
AUROPHARMA,AUROPHARMA,AUROPHARMA.NS,Healthcare
AVANTIFEED,AVANTIFEED,AVANTIFEED.NS,Consumer Defensive
AXISBANK,AXISBANK,AXISBANK.NS,Financial Services
BAJAJ-AUTO,BAJAJ-AUTO,BAJAJ-AUTO.NS,Consumer Cyclical
BAJAJCON,BAJAJCON,BAJAJCON.NS,Consumer Defensive
BAJAJELEC,BAJAJELEC,BAJAJELEC.NS,Consumer Cyclical
BAJAJFINSV,BAJAJFINSV,BAJAJFINSV.NS,Financial Services
BAJAJHLDNG,BAJAJHLDNG,BAJAJHLDNG.NS,Financial Services
BAJFINANCE,BAJFINANCE,BAJFINANCE.NS,Financial Services
BALAMINES,BALAMINES,BALAMINES.NS,Basic Materials
BALKRISIND,BALKRISIND,BALKRISIND.NS,Consumer Cyclical
BALMLAWRIE,BALMLAWRIE,BALMLAWRIE.NS,Industrials
BALRAMCHIN,BALRAMCHIN,BALRAMCHIN.NS,Consumer Defensive
BANDHANBNK,BANDHANBNK,BANDHANBNK.NS,Financial Services
BANKBARODA,BANKBARODA,BANKBARODA.NS,Financial Services
BANKINDIA,BANKINDIA,BANKINDIA.NS,Financial Services
BASF,BASF,BASF.NS,Basic Materials
BATAINDIA,BATAINDIA,BATAINDIA.NS,Consumer Cyclical
BAYERCROP,BAYERCROP,BAYERCROP.NS,Basic Materials
BBTC,BBTC,BBTC.NS,Consumer Defensive
BDL,BDL,BDL.NS,Industrials
BEL,BEL,BEL.NS,Industrials
BEML,BEML,BEML.NS,Industrials
BERGEPAINT,BERGEPAINT,BERGEPAINT.NS,Basic Materials
BHARATFORG,BHARATFORG,BHARATFORG.NS,Consumer Cyclical
BHARATRAS,BHARATRAS,BHARATRAS.NS,Basic Materials
BHARTIARTL,BHARTIARTL,BHARTIARTL.NS,Communication Services
BHEL,BHEL,BHEL.NS,Industrials
BIOCON,BIOCON,BIOCON.NS,Healthcare
BIRLACORPN,BIRLACORPN,BIRLACORPN.NS,Basic Materials
BLISSGVS,BLISSGVS,BLISSGVS.NS,Healthcare
BLUEDART,BLUEDART,BLUEDART.NS,Industrials
BLUESTARCO,BLUESTARCO,BLUESTARCO.NS,Industrials
BOSCHLTD,BOSCHLTD,BOSCHLTD.NS,Consumer Cyclical
BPCL,BPCL,BPCL.NS,Energy
BRIGADE,BRIGADE,BRIGADE.NS,Real Estate
BRITANNIA,BRITANNIA,BRITANNIA.NS,Consumer Defensive
BSE,BSE,BSE.NS,Financial Services
BSOFT,BSOFT,BSOFT.NS,Technology
CAMS,CAMS,CAMS.NS,Technology
CANBK,CANBK,CANBK.NS,Financial Services
CANFINHOME,CANFINHOME,CANFINHOME.NS,Financial Services
CAPLIPOINT,CAPLIPOINT,CAPLIPOINT.NS,Healthcare
CARBORUNIV,CARBORUNIV,CARBORUNIV.NS,Industrials
CASTROLIND,CASTROLIND,CASTROLIND.NS,Energy
CCL,CCL,CCL.NS,Consumer Defensive
CDSL,CDSL,CDSL.NS,Financial Services
CEATLTD,CEATLTD,CEATLTD.NS,Consumer Cyclical
CENTRALBK,CENTRALBK,CENTRALBK.NS,Financial Services
CENTURYPLY,CENTURYPLY,CENTURYPLY.NS,Basic Materials
CERA,CERA,CERA.NS,Industrials
CESC,CESC,CESC.NS,Utilities
CGCL,CGCL,CGCL.NS,Financial Services
CHALET,CHALET,CHALET.NS,Consumer Cyclical
CHAMBLFERT,CHAMBLFERT,CHAMBLFERT.NS,Basic Materials
CHOLAFIN,CHOLAFIN,CHOLAFIN.NS,Financial Services
CHOLAHLDNG,CHOLAHLDNG,CHOLAHLDNG.NS,Financial Services
CIPLA,CIPLA,CIPLA.NS,Healthcare
COALINDIA,COALINDIA,COALINDIA.NS,Energy
COCHINSHIP,COCHINSHIP,COCHINSHIP.NS,Industrials
COFORGE,COFORGE,COFORGE.NS,Technology
COLPAL,COLPAL,COLPAL.NS,Consumer Defensive
CONCOR,CONCOR,CONCOR.NS,Industrials
COROMANDEL,COROMANDEL,COROMANDEL.NS,Basic Materials
CREDITACC,CREDITACC,CREDITACC.NS,Financial Services
CRISIL,CRISIL,CRISIL.NS,Financial Services
CROMPTON,CROMPTON,CROMPTON.NS,Consumer Cyclical
CSBBANK,CSBBANK,CSBBANK.NS,Financial Services
CUB,CUB,CUB.NS,Financial Services
CUMMINSIND,CUMMINSIND,CUMMINSIND.NS,Industrials
CYIENT,CYIENT,CYIENT.NS,Industrials
DABUR,DABUR,DABUR.NS,Consumer Defensive
DALBHARAT,DALBHARAT,DALBHARAT.NS,Basic Materials
DBL,DBL,DBL.NS,Industrials
DCAL,DCAL,DCAL.NS,Healthcare
DCBBANK,DCBBANK,DCBBANK.NS,Financial Services
DCMSHRIRAM,DCMSHRIRAM,DCMSHRIRAM.NS,Industrials
DEEPAKNTR,DEEPAKNTR,DEEPAKNTR.NS,Basic Materials
DELTACORP,DELTACORP,DELTACORP.NS,Consumer Cyclical
DHANI,DHANI,DHANI.NS,
DHANUKA,DHANUKA,DHANUKA.NS,Basic Materials
DISHTV,DISHTV,DISHTV.NS,Communication Services
DIVISLAB,DIVISLAB,DIVISLAB.NS,Healthcare
DIXON,DIXON,DIXON.NS,Technology
DLF,DLF,DLF.NS,Real Estate
DMART,DMART,DMART.NS,Consumer Defensive
DRREDDY,DRREDDY,DRREDDY.NS,Healthcare
ECLERX,ECLERX,ECLERX.NS,Technology
EDELWEISS,EDELWEISS,EDELWEISS.NS,Financial Services
EICHERMOT,EICHERMOT,EICHERMOT.NS,Consumer Cyclical
EIDPARRY,EIDPARRY,EIDPARRY.NS,Basic Materials
EIHOTEL,EIHOTEL,EIHOTEL.NS,Consumer Cyclical
ELGIEQUIP,ELGIEQUIP,ELGIEQUIP.NS,Industrials
EMAMILTD,EMAMILTD,EMAMILTD.NS,Consumer Defensive
ENDURANCE,ENDURANCE,ENDURANCE.NS,Consumer Cyclical
ENGINERSIN,ENGINERSIN,ENGINERSIN.NS,Industrials
EPL,EPL,EPL.NS,Consumer Cyclical
ERIS,ERIS,ERIS.NS,Healthcare
ESCORTS,ESCORTS,ESCORTS.NS,Industrials
EXIDEIND,EXIDEIND,EXIDEIND.NS,Consumer Cyclical
FCONSUMER,FCONSUMER,FCONSUMER.NS,Consumer Defensive
FDC,FDC,FDC.NS,Healthcare
FEDERALBNK,FEDERALBNK,FEDERALBNK.NS,Financial Services
FINCABLES,FINCABLES,FINCABLES.NS,Industrials
FINEORG,FINEORG,FINEORG.NS,Basic Materials
FINPIPE,FINPIPE,FINPIPE.NS,Industrials
FLUOROCHEM,FLUOROCHEM,FLUOROCHEM.NS,Basic Materials
FORTIS,FORTIS,FORTIS.NS,Healthcare
FSL,FSL,FSL.NS,Technology
GAEL,GAEL,GAEL.NS,Consumer Defensive
GAIL,GAIL,GAIL.NS,Utilities
GALAXYSURF,GALAXYSURF,GALAXYSURF.NS,Basic Materials
GARFIBRES,GARFIBRES,GARFIBRES.NS,Consumer Cyclical
GESHIP,GESHIP,GESHIP.NS,Industrials
GICRE,GICRE,GICRE.NS,Financial Services
GILLETTE,GILLETTE,GILLETTE.NS,Consumer Defensive
GLAND,GLAND,GLAND.NS,Healthcare
GLAXO,GLAXO,GLAXO.NS,Healthcare
GLENMARK,GLENMARK,GLENMARK.NS,Healthcare
GMMPFAUDLR,GMMPFAUDLR,GMMPFAUDLR.NS,Industrials
GNFC,GNFC,GNFC.NS,Basic Materials
GODFRYPHLP,GODFRYPHLP,GODFRYPHLP.NS,Consumer Defensive
GODREJAGRO,GODREJAGRO,GODREJAGRO.NS,Consumer Defensive
GODREJCP,GODREJCP,GODREJCP.NS,Consumer Defensive
GODREJIND,GODREJIND,GODREJIND.NS,Industrials
GODREJPROP,GODREJPROP,GODREJPROP.NS,Real Estate
GPPL,GPPL,GPPL.NS,Industrials
GRANULES,GRANULES,GRANULES.NS,Healthcare
GRAPHITE,GRAPHITE,GRAPHITE.NS,Industrials
GRASIM,GRASIM,GRASIM.NS,Basic Materials
GREAVESCOT,GREAVESCOT,GREAVESCOT.NS,Industrials
GRINDWELL,GRINDWELL,GRINDWELL.NS,Industrials
GRSE,GRSE,GRSE.NS,Industrials
GSFC,GSFC,GSFC.NS,Basic Materials
GSPL,GSPL,GSPL.NS,Utilities
GUJALKALI,GUJALKALI,GUJALKALI.NS,Basic Materials
GUJGASLTD,GUJGASLTD,GUJGASLTD.NS,Utilities
GULFOILLUB,GULFOILLUB,GULFOILLUB.NS,Basic Materials
HAL,HAL,HAL.NS,Industrials
HAPPSTMNDS,HAPPSTMNDS,HAPPSTMNDS.NS,Technology
HATSUN,HATSUN,HATSUN.NS,Consumer Defensive
HAVELLS,HAVELLS,HAVELLS.NS,Industrials
HCLTECH,HCLTECH,HCLTECH.NS,Technology
HDFCAMC,HDFCAMC,HDFCAMC.NS,Financial Services
HDFCBANK,HDFCBANK,HDFCBANK.NS,Financial Services
HDFCLIFE,HDFCLIFE,HDFCLIFE.NS,Financial Services
HEG,HEG,HEG.NS,Industrials
HEIDELBERG,HEIDELBERG,HEIDELBERG.NS,Basic Materials
HEMIPROP,HEMIPROP,HEMIPROP.NS,Real Estate
HEROMOTOCO,HEROMOTOCO,HEROMOTOCO.NS,Consumer Cyclical
