ticker_nse,sector,industry
3MINDIA,Industrials,Conglomerates
AARTIDRUGS,Healthcare,Drug Manufacturers - Specialty & Generic
AARTIIND,Basic Materials,Specialty Chemicals
AAVAS,Financial Services,Mortgage Finance
ABB,Industrials,Specialty Industrial Machinery
ABBOTINDIA,Healthcare,Drug Manufacturers - Specialty & Generic
ABCAPITAL,Financial Services,Financial Conglomerates
ABFRL,Consumer Cyclical,Apparel Manufacturing
ACC,Basic Materials,Building Materials
ADANIENSOL,Utilities,Utilities - Independent Power Producers
ADANIENT,Energy,Thermal Coal
ADANIGREEN,Utilities,Utilities - Renewable
ADANIPORTS,Industrials,Marine Shipping
ADVENZYMES,Basic Materials,Specialty Chemicals
AFFLE,Communication Services,Advertising Agencies
AIAENG,Industrials,Specialty Industrial Machinery
AJANTPHARM,Healthcare,Drug Manufacturers - Specialty & Generic
AKZOINDIA,Basic Materials,Specialty Chemicals
ALEMBICLTD,Real Estate,Real Estate - Development
ALKEM,Healthcare,Drug Manufacturers - Specialty & Generic
ALKYLAMINE,Basic Materials,Specialty Chemicals
ALOKINDS,Consumer Cyclical,Textile Manufacturing
AMBER,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
AMBUJACEM,Basic Materials,Building Materials
APLAPOLLO,Basic Materials,Steel
APLLTD,Healthcare,Drug Manufacturers - Specialty & Generic
APOLLOHOSP,Healthcare,Medical Care Facilities
APOLLOTYRE,Consumer Cyclical,Auto Parts
ASAHIINDIA,Consumer Cyclical,Auto Parts
ASHOKA,Industrials,Engineering & Construction
ASHOKLEY,Industrials,Farm & Heavy Construction Machinery
ASIANPAINT,Basic Materials,Specialty Chemicals
ASTERDM,Healthcare,Medical Care Facilities
ASTRAL,Industrials,Building Products & Equipment
ASTRAZEN,Healthcare,Drug Manufacturers - Specialty & Generic
ATGL,Utilities,Utilities - Regulated Gas
ATUL,Basic Materials,Specialty Chemicals
AUBANK,Financial Services,Banks - Regional
AUROPHARMA,Healthcare,Drug Manufacturers - Specialty & Generic
AVANTIFEED,Consumer Defensive,Packaged Foods
AXISBANK,Financial Services,Banks - Regional
BAJAJ-AUTO,Consumer Cyclical,Auto Manufacturers
BAJAJCON,Consumer Defensive,Household & Personal Products
BAJAJELEC,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
BAJAJFINSV,Financial Services,Financial Conglomerates
BAJAJHLDNG,Financial Services,Asset Management
BAJFINANCE,Financial Services,Credit Services
BALAMINES,Basic Materials,Specialty Chemicals
BALKRISIND,Consumer Cyclical,Auto Parts
BALMLAWRIE,Industrials,Conglomerates
BALRAMCHIN,Consumer Defensive,Confectioners
BANDHANBNK,Financial Services,Banks - Regional
BANKBARODA,Financial Services,Banks - Regional
BANKINDIA,Financial Services,Banks - Regional
BASF,Basic Materials,Specialty Chemicals
BATAINDIA,Consumer Cyclical,Footwear & Accessories
BAYERCROP,Basic Materials,Agricultural Inputs
BBTC,Consumer Defensive,Packaged Foods
BDL,Industrials,Aerospace & Defense
BEL,Industrials,Aerospace & Defense
BEML,Industrials,Conglomerates
BERGEPAINT,Basic Materials,Specialty Chemicals
BHARATFORG,Consumer Cyclical,Auto Parts
BHARATRAS,Basic Materials,Agricultural Inputs
BHARTIARTL,Communication Services,Telecom Services
BHEL,Industrials,Specialty Industrial Machinery
BIOCON,Healthcare,Biotechnology
BIRLACORPN,Basic Materials,Building Materials
BLISSGVS,Healthcare,Drug Manufacturers - Specialty & Generic
BLUEDART,Industrials,Integrated Freight & Logistics
BLUESTARCO,Industrials,Building Products & Equipment
BOSCHLTD,Consumer Cyclical,Auto Parts
BPCL,Energy,Oil & Gas Refining & Marketing
BRIGADE,Real Estate,Real Estate - Development
BRITANNIA,Consumer Defensive,Packaged Foods
BSE,Financial Services,Financial Data & Stock Exchanges
BSOFT,Technology,Information Technology Services
CAMS,Technology,Information Technology Services
CANBK,Financial Services,Banks - Regional
CANFINHOME,Financial Services,Mortgage Finance
CAPLIPOINT,Healthcare,Drug Manufacturers - Specialty & Generic
CARBORUNIV,Industrials,Conglomerates
CASTROLIND,Energy,Oil & Gas Refining & Marketing
CCL,Consumer Defensive,Packaged Foods
CDSL,Financial Services,Capital Markets
CEATLTD,Consumer Cyclical,Auto Parts
CENTRALBK,Financial Services,Banks - Regional
CENTURYPLY,Basic Materials,Lumber & Wood Production
CERA,Industrials,Building Products & Equipment
CESC,Utilities,Utilities - Regulated Electric
CGCL,Financial Services,Credit Services
CHALET,Consumer Cyclical,Lodging
CHAMBLFERT,Basic Materials,Agricultural Inputs
CHOLAFIN,Financial Services,Credit Services
CHOLAHLDNG,Financial Services,Credit Services
CIPLA,Healthcare,Drug Manufacturers - Specialty & Generic
COALINDIA,Energy,Thermal Coal
COCHINSHIP,Industrials,Aerospace & Defense
COFORGE,Technology,Information Technology Services
COLPAL,Consumer Defensive,Household & Personal Products
CONCOR,Industrials,Railroads
COROMANDEL,Basic Materials,Agricultural Inputs
CREDITACC,Financial Services,Credit Services
CRISIL,Financial Services,Financial Data & Stock Exchanges
CROMPTON,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
CSBBANK,Financial Services,Banks - Regional
CUB,Financial Services,Banks - Regional
CUMMINSIND,Industrials,Specialty Industrial Machinery
CYIENT,Industrials,Conglomerates
DABUR,Consumer Defensive,Household & Personal Products
DALBHARAT,Basic Materials,Building Materials
DBL,Industrials,Engineering & Construction
DCAL,Healthcare,Biotechnology
DCBBANK,Financial Services,Banks - Regional
DCMSHRIRAM,Industrials,Conglomerates
DEEPAKNTR,Basic Materials,Chemicals
DELTACORP,Consumer Cyclical,Resorts & Casinos
DHANI,,
DHANUKA,Basic Materials,Agricultural Inputs
DISHTV,Communication Services,Entertainment
DIVISLAB,Healthcare,Drug Manufacturers - Specialty & Generic
DIXON,Technology,Consumer Electronics
DLF,Real Estate,Real Estate - Development
DMART,Consumer Defensive,Discount Stores
DRREDDY,Healthcare,Drug Manufacturers - Specialty & Generic
