,importance
64,0.12050862933843431
66,0.039469785968765235
76,0.03304624597102235
37,0.029779327908429288
68,0.029399666766976463
41,0.028638855594173607
28,0.02626338491562495
72,0.024435097848041987
39,0.022972718184608585
69,0.022574784076071833
43,0.02245229802686029
74,0.02217170783481184
75,0.02171844886717991
1,0.020963227590049188
38,0.02011598434582212
82,0.01927892398971789
15,0.01904787916499753
0,0.017614983210713104
36,0.017155222816497805
67,0.015617972018047785
70,0.01542684130393871
21,0.015097712729673614
81,0.014593884851180988
26,0.014566327447507035
60,0.014526892829249414
18,0.01432916887643171
34,0.01340405315854258
55,0.013278273800967008
77,0.012715869027870893
27,0.011871221989922949
23,0.011211771666925809
62,0.010805299497115265
73,0.010352696914611326
3,0.009704024289320707
40,0.009241522734027476
63,0.009196578353314283
87,0.009163791570992423
17,0.008473269743077392
48,0.007886985352952533
22,0.007726608812881807
2,0.007603833323009647
65,0.00735127664134318
83,0.007287064375502914
59,0.006973414346402901
14,0.006752168298323387
33,0.006474792838440433
71,0.006333024990345601
58,0.00632304679370383
54,0.00622341511154756
49,0.0061098156850781194
16,0.0060214763955300605
25,0.005719736997595127
24,0.005714576503417234
42,0.005622105335688196
50,0.005422782658312656
35,0.005394322732869979
51,0.005236862470086038
31,0.004809305195018927
57,0.004463108416124029
46,0.004245644358670757
13,0.0041610595914129975
9,0.0041365662687931366
47,0.004069723134812171
19,0.003922336844098709
11,0.003918629049542536
10,0.0038601010471810263
12,0.0038478873892015025
32,0.0038347812361630945
29,0.003772420920839599
56,0.0037646712858993184
8,0.0037299773219145794
61,0.0037252050136613417
52,0.003439991663072545
4,0.0029098243770166693
53,0.0028564369445227677
20,0.0027893703142844186
7,0.002721901347584812
6,0.0026038797004838358
5,0.0024850477240806125
44,0.002334477690358957
30,0.002257843483297914
91,0.0019660885078672022
45,1.20856144930689e-05
78,0.0
79,0.0
80,0.0
84,0.0
85,0.0
86,0.0
88,0.0
89,0.0
90,0.0
