,importance
sector_momentum__sector_dispersion_60d,1636
sector_momentum__sector_dispersion_20d,1198
turnover__volume_mean_20,1095
sector_relative__sector_rel_close,964
technical__ema_50,926
technical__ema_20,865
sector_momentum__sector_dispersion_5d,836
sector_momentum__sector_rank,824
mean_reversion__dist_from_200ma_pct,802
sector_momentum__sector_momentum_60d,783
momentum__pct_from_120d_high,768
mean_reversion__dist_from_200ma,712
mean_reversion__price_vs_ma_ratio_200,698
orthogonal__idio_vol_20,667
volume_enhanced__pv_corr_20d,655
ranking__volume_rank,640
mean_reversion__bollinger_squeeze,584
atr__atr_pct_14,539
atr__atr_14,537
technical__macd_signal,533
sector_relative__sector_vol_20_z,501
technical__macd,491
momentum__momentum_ratio_10_30,457
momentum_enhanced__ma60_ratio,442
volatility__price_vol_20,426
volatility__downside_vol_10d,376
volume_enhanced__pv_corr_10d,373
ranking__ret_20d_rank,321
ranking__vol_20_rank,311
volatility__vol_5d,295
sector_momentum__sector_momentum_20d,286
volatility__price_vol_10,265
volume_enhanced__vol_trend,257
momentum_enhanced__ma5_ratio,239
momentum_enhanced__ma20_ratio,236
turnover__volume_ratio_5_20,236
mean_reversion_enhanced__dist_to_min_20d,233
volatility__vol_ratio_short_long,218
mean_reversion__dist_from_50ma,209
mean_reversion__rsi_distance_from_50,209
sector_relative__sector_mom_10_z,201
technical__rsi_14,195
turnover__volume_spike,191
mean_reversion_enhanced__dist_to_max_20d,188
sector_relative__sector_rank_pct,187
momentum__price_ret_1d,175
turnover__turnover_trend_20,170
mean_reversion__price_vs_ma_ratio_50,165
sector_momentum__sector_momentum_5d,157
momentum__price_ret_20d,156
momentum_enhanced__mom_accel,153
momentum__price_ret_10d,140
sector_relative__sector_ret_z,137
momentum__price_ret_3d,135
momentum__price_ret_5d,103
orthogonal__idio_ret_10d,102
mean_reversion_enhanced__range_position_20d,95
momentum_enhanced__mom_quality,94
sector_relative__sector_ret_10d_z,86
technical__boll_z,86
mean_reversion_enhanced__recent_extreme_ratio,82
turnover__turnover_z_20,77
momentum__price_mom_20,59
momentum__price_mom_10,51
momentum__price_mom_5,41
mean_reversion__bollinger_position,36
volume_enhanced__vol_spike,31
mean_reversion__rsi_extreme_low,7
mean_reversion__rsi_extreme_high,4
mean_reversion__oversold_signal,2
fundamental__revenue_growth_stability,1
fundamental__quick_ratio,0
fundamental__quality_score,0
fundamental__profitability_composite,0
fundamental__pe_ratio,0
fundamental__pb_ratio,0
fundamental__ps_ratio,0
fundamental__value_composite,0
fundamental__roe,0
fundamental__roa,0
fundamental__gross_margin,0
fundamental__operating_margin,0
fundamental__net_margin,0
fundamental__revenue_growth_yoy,0
fundamental__accruals_sector_z,0
fundamental__earnings_growth_yoy,0
fundamental__revenue_acceleration,0
fundamental__revenue_growth_sector_z,0
fundamental__debt_to_equity,0
fundamental__current_ratio,0
fundamental__cash_to_debt,0
fundamental__financial_strength,0
fundamental__accruals,0
fundamental__cf_to_ni,0
fundamental__earnings_growth_sector_z,0
