fold_idx,train_start,train_end,valid_start,valid_end,test_start,test_end,train_samples,valid_samples,test_samples,train_roc_auc,train_ic,train_rank_ic,valid_roc_auc,valid_ic,valid_rank_ic,test_roc_auc,test_ic,test_rank_ic
1,2010-01-01T00:00:00,2016-01-08T00:00:00,2016-01-28T00:00:00,2016-07-26T00:00:00,2016-08-15T00:00:00,2017-02-11T00:00:00,91190,45063,46882,,,,0.5313390312083849,0.06116983705729376,0.0527381899667654,0.5225664666964271,0.056195514546839194,0.04218883818654212
2,2010-01-01T00:00:00,2016-04-07T00:00:00,2016-04-27T00:00:00,2016-10-24T00:00:00,2016-11-13T00:00:00,2017-05-12T00:00:00,113390,45987,47404,,,,0.5180516875733377,0.043236070888201646,0.036487292592944066,0.5284501254653818,0.04678253058112807,0.04455593912716366
3,2010-01-01T00:00:00,2016-07-06T00:00:00,2016-07-26T00:00:00,2017-01-22T00:00:00,2017-02-11T00:00:00,2017-08-10T00:00:00,135793,46734,47827,,,,0.5271671330880092,0.05337022591217902,0.04542515373667816,0.5260555192916625,0.0227674307039437,0.03426505554292179
4,2010-01-01T00:00:00,2016-10-04T00:00:00,2016-10-24T00:00:00,2017-04-22T00:00:00,2017-05-12T00:00:00,2017-11-08T00:00:00,158892,47692,48879,,,,0.5312111547203708,0.038554297362591756,0.04369511859976363,0.543539555405435,0.06290569818460405,0.06755175254807247
5,2010-02-08T00:00:00,2017-01-02T00:00:00,2017-01-22T00:00:00,2017-07-21T00:00:00,2017-08-10T00:00:00,2018-02-06T00:00:00,181983,47721,49546,,,,0.5296827875357902,0.026882129828064396,0.03873558846174482,0.5395729767067717,0.06771943006908084,0.07371854063457722
6,2010-05-09T00:00:00,2017-04-02T00:00:00,2017-04-22T00:00:00,2017-10-19T00:00:00,2017-11-08T00:00:00,2018-05-07T00:00:00,205706,48682,50047,,,,0.5352074628642838,0.05331359258879704,0.05501240523059896,0.5223102780489179,0.026631770788214493,0.028461642857322358
7,2010-08-07T00:00:00,2017-07-01T00:00:00,2017-07-21T00:00:00,2018-01-17T00:00:00,2018-02-06T00:00:00,2018-08-05T00:00:00,229598,49742,52064,,,,0.538852440754495,0.07295903214901227,0.06924159945006975,0.5151837736143967,0.020744935520679585,0.008164688912612801
8,2010-11-05T00:00:00,2017-09-29T00:00:00,2017-10-19T00:00:00,2018-04-17T00:00:00,2018-05-07T00:00:00,2018-11-03T00:00:00,254643,49867,52784,,,,0.532805196571384,0.053835790587100134,0.048172944076630704,0.5350024885774921,0.05763022278135524,0.04883187151086817
9,2011-02-03T00:00:00,2017-12-28T00:00:00,2018-01-17T00:00:00,2018-07-16T00:00:00,2018-08-05T00:00:00,2019-02-01T00:00:00,279535,51022,51673,,,,0.5104755560246163,0.012318604657659086,-0.0007796554412433041,0.5188557056304784,0.037304612902078337,0.024220836452586193
10,2011-05-04T00:00:00,2018-03-28T00:00:00,2018-04-17T00:00:00,2018-10-14T00:00:00,2018-11-03T00:00:00,2019-05-02T00:00:00,304725,52216,50715,,,,0.5242789311459198,0.026712352937435714,0.02384396906233226,0.5192574026145504,0.03880782620461171,0.026473079041419097
