,importance
sector_relative__sector_rel_close,1119.8086956521738
technical__ema_20,944.9652173913043
delivery__deliv_value_mean_20,921.6130434782609
turnover__volume_mean_20,916.8260869565217
technical__ema_50,894.4347826086956
orthogonal__idio_vol_20,839.6304347826087
delivery__deliv_ratio_mean_20,830.2391304347826
mean_reversion__dist_from_200ma_pct,671.2173913043479
volume_enhanced__pv_corr_20d,657.4478260869565
mean_reversion__dist_from_200ma,642.3565217391305
mean_reversion__bollinger_squeeze,616.2913043478261
atr__atr_14,613.9217391304347
sector_relative__sector_vol_20_z,579.0869565217391
ranking__volume_rank,564.9652173913043
delivery__deliv_ratio_mean_10,561.4173913043478
momentum__pct_from_120d_high,537.4739130434782
atr__atr_pct_14,490.3434782608696
volatility__downside_vol_10d,489.3521739130435
volatility__price_vol_20,486.76521739130436
mean_reversion__price_vs_ma_ratio_200,452.74782608695654
technical__macd_signal,448.8608695652174
ranking__vol_20_rank,442.7913043478261
momentum__momentum_ratio_10_30,419.8565217391304
momentum_enhanced__ma60_ratio,405.45217391304345
delivery__deliv_vs_price_mom_10,361.204347826087
delivery__deliv_ratio_mean_5,359.45217391304345
delivery__deliv_ratio_change_10,343.5130434782609
volume_enhanced__pv_corr_10d,338.24347826086955
volatility__price_vol_10,319.204347826087
ranking__ret_20d_rank,310.9217391304348
technical__macd,309.6913043478261
sector_relative__sector_mom_10_z,288.3521739130435
orthogonal__idio_ret_10d,268.295652173913
delivery__deliv_value,258.1
momentum_enhanced__mom_accel,242.2086956521739
turnover__volume_ratio_5_20,235.65652173913043
sector_relative__sector_rank_pct,232.7913043478261
mean_reversion_enhanced__dist_to_min_20d,219.64347826086956
volatility__vol_ratio_short_long,209.43478260869566
mean_reversion__dist_from_50ma,206.26521739130436
mean_reversion_enhanced__dist_to_max_20d,178.38260869565218
volume_enhanced__vol_trend,173.91304347826087
volatility__vol_5d,170.90869565217392
momentum_enhanced__ma5_ratio,164.4
delivery__deliv_ratio,163.45217391304348
momentum__price_ret_10d,163.2826086956522
sector_relative__sector_ret_z,156.91739130434783
mean_reversion__price_vs_ma_ratio_50,153.8521739130435
delivery__deliv_vs_price_corr_10,152.80869565217392
mean_reversion__rsi_distance_from_50,139.7521739130435
momentum__price_ret_20d,137.86521739130436
technical__rsi_14,136.35652173913044
momentum_enhanced__ma20_ratio,120.86086956521739
sector_relative__sector_ret_10d_z,117.40869565217392
momentum__price_ret_3d,112.00869565217391
technical__boll_z,104.84347826086956
turnover__turnover_trend_20,103.16956521739131
momentum__price_ret_5d,97.97826086956522
momentum_enhanced__mom_quality,95.68695652173913
mean_reversion_enhanced__recent_extreme_ratio,84.50869565217391
delivery__deliv_value_spike,84.36521739130434
mean_reversion_enhanced__range_position_20d,80.0695652173913
turnover__turnover_z_20,76.50434782608696
momentum__price_ret_1d,72.20434782608696
momentum__price_mom_10,66.0
turnover__volume_spike,60.18695652173913
momentum__price_mom_20,55.46521739130435
momentum__price_mom_5,40.256521739130434
mean_reversion__bollinger_position,36.2
volume_enhanced__vol_spike,30.943478260869565
mean_reversion__oversold_signal,3.873913043478261
mean_reversion__rsi_extreme_low,1.3956521739130434
mean_reversion__rsi_extreme_high,0.7869565217391304
ownership__fii_change_5d,0.0
ownership__dii_change_5d,0.0
ownership__ownership_spread,0.0
delivery__delivery_z,0.0
ownership__ownership_trend_20d,0.0
ownership__fii_to_dii_ratio,0.0
delivery__delivery_spike,0.0
delivery__delivery_trend_5d,0.0
delivery__delivery_ratio_5_20,0.0
