,importance
turnover__volume_mean_20,991.4166666666666
technical__ema_20,896.3333333333334
sector_relative__sector_rel_close,894.6805555555555
technical__ema_50,860.3472222222222
delivery__deliv_value_mean_20,830.5
orthogonal__idio_vol_20,742.2083333333334
delivery__deliv_ratio_mean_20,645.5
volume_enhanced__pv_corr_20d,624.5416666666666
mean_reversion__dist_from_200ma_pct,596.4027777777778
technical__macd_signal,585.9027777777778
mean_reversion__bollinger_squeeze,581.4305555555555
mean_reversion__dist_from_200ma,565.0972222222222
atr__atr_14,560.1944444444445
delivery__deliv_ratio_mean_10,558.3611111111111
momentum__pct_from_120d_high,484.1388888888889
sector_relative__sector_vol_20_z,476.3611111111111
ranking__volume_rank,457.75
volatility__price_vol_20,455.4166666666667
atr__atr_pct_14,453.5833333333333
mean_reversion__price_vs_ma_ratio_200,426.625
delivery__deliv_ratio_change_10,414.97222222222223
delivery__deliv_ratio_mean_5,412.7916666666667
volatility__downside_vol_10d,398.84722222222223
volatility__price_vol_10,336.93055555555554
orthogonal__idio_ret_10d,333.44444444444446
delivery__deliv_vs_price_mom_10,316.7638888888889
momentum_enhanced__ma60_ratio,314.09722222222223
volume_enhanced__pv_corr_10d,302.7083333333333
ranking__ret_20d_rank,295.05555555555554
technical__macd,292.6388888888889
momentum__momentum_ratio_10_30,292.31944444444446
ranking__vol_20_rank,257.47222222222223
volatility__vol_ratio_short_long,246.38888888888889
momentum_enhanced__mom_accel,225.05555555555554
sector_relative__sector_mom_10_z,224.30555555555554
delivery__deliv_ratio,198.33333333333334
delivery__deliv_value,182.36111111111111
sector_relative__sector_ret_z,177.02777777777777
turnover__volume_ratio_5_20,174.29166666666666
mean_reversion__dist_from_50ma,168.20833333333334
mean_reversion_enhanced__dist_to_min_20d,166.40277777777777
volatility__vol_5d,155.94444444444446
volume_enhanced__vol_trend,148.75
delivery__deliv_vs_price_corr_10,135.86111111111111
mean_reversion__rsi_distance_from_50,132.0
mean_reversion_enhanced__dist_to_max_20d,125.66666666666667
mean_reversion__price_vs_ma_ratio_50,120.18055555555556
technical__rsi_14,118.72222222222223
momentum__price_ret_20d,114.45833333333333
momentum__price_ret_10d,113.30555555555556
momentum_enhanced__ma5_ratio,112.91666666666667
momentum_enhanced__ma20_ratio,112.55555555555556
sector_relative__sector_rank_pct,110.81944444444444
sector_relative__sector_ret_10d_z,88.36111111111111
momentum__price_ret_5d,71.83333333333333
turnover__turnover_trend_20,70.23611111111111
technical__boll_z,68.43055555555556
mean_reversion_enhanced__range_position_20d,67.77777777777777
delivery__deliv_value_spike,64.06944444444444
turnover__turnover_z_20,63.84722222222222
momentum__price_ret_1d,63.361111111111114
turnover__volume_spike,57.986111111111114
mean_reversion_enhanced__recent_extreme_ratio,55.763888888888886
momentum_enhanced__mom_quality,51.013888888888886
momentum__price_mom_10,45.625
momentum__price_mom_20,45.06944444444444
momentum__price_ret_3d,40.513888888888886
momentum__price_mom_5,28.27777777777778
volume_enhanced__vol_spike,26.59722222222222
mean_reversion__bollinger_position,23.40277777777778
mean_reversion__oversold_signal,2.5277777777777777
mean_reversion__rsi_extreme_high,0.2916666666666667
mean_reversion__rsi_extreme_low,0.2777777777777778
delivery__delivery_spike,0.0
ownership__fii_change_5d,0.0
delivery__delivery_trend_5d,0.0
ownership__ownership_spread,0.0
ownership__ownership_trend_20d,0.0
ownership__fii_to_dii_ratio,0.0
delivery__delivery_z,0.0
delivery__delivery_ratio_5_20,0.0
ownership__dii_change_5d,0.0
