fold_idx,train_start,train_end,valid_start,valid_end,test_start,test_end,train_samples,valid_samples,test_samples,train_roc_auc,train_ic,train_rank_ic,valid_roc_auc,valid_ic,valid_rank_ic,test_roc_auc,test_ic,test_rank_ic
1,2010-01-01T00:00:00,2011-01-03T00:00:00,2011-01-28T00:00:00,2011-07-27T00:00:00,2011-08-21T00:00:00,2012-02-17T00:00:00,81724,41954,41387,,,,0.5581189393647927,0.11860929413260624,0.11689257803459206,0.5409338821055854,0.07896909562445019,0.07079061982804166
2,2010-01-01T00:00:00,2011-04-03T00:00:00,2011-04-28T00:00:00,2011-10-25T00:00:00,2011-11-19T00:00:00,2012-05-17T00:00:00,102618,42278,42113,,,,0.5202959384889696,0.0328877398860551,0.03255525422575469,0.5434785868672605,0.09619600048634216,0.08430092103919504
3,2010-01-01T00:00:00,2011-07-02T00:00:00,2011-07-27T00:00:00,2012-01-23T00:00:00,2012-02-17T00:00:00,2012-08-15T00:00:00,123593,40955,43088,,,,0.5464942432261659,0.0992133342397352,0.08208532014319336,0.561679623795626,0.1116776550078472,0.12452274758993205
4,2010-01-01T00:00:00,2011-09-30T00:00:00,2011-10-25T00:00:00,2012-04-22T00:00:00,2012-05-17T00:00:00,2012-11-13T00:00:00,144806,41314,42824,,,,0.5578718352046828,0.09838517741082055,0.11207117368537131,0.5354986281355263,0.07434805517929408,0.07076517862702984
5,2010-01-01T00:00:00,2011-12-29T00:00:00,2012-01-23T00:00:00,2012-07-21T00:00:00,2012-08-15T00:00:00,2013-02-11T00:00:00,164808,43367,41451,,,,0.5602314774128626,0.0995553101235241,0.11453627737523417,0.525857743850515,0.08067601614412584,0.06510992593805642
6,2010-01-01T00:00:00,2012-03-28T00:00:00,2012-04-22T00:00:00,2012-10-19T00:00:00,2012-11-13T00:00:00,2013-05-12T00:00:00,186008,43526,42264,,,,0.5561824434265028,0.0884363005048099,0.09530387335952899,0.5233789160251658,0.05288627831483935,0.03301008710537529
7,2010-01-01T00:00:00,2012-06-26T00:00:00,2012-07-21T00:00:00,2013-01-17T00:00:00,2013-02-11T00:00:00,2013-08-10T00:00:00,207411,41434,43829,,,,0.5509543654714057,0.12217378990362125,0.09523838483927481,0.5377407953929434,0.04990156490628895,0.04837170581556996
8,2010-01-01T00:00:00,2012-09-24T00:00:00,2012-10-19T00:00:00,2013-04-17T00:00:00,2013-05-12T00:00:00,2013-11-08T00:00:00,228824,42234,43601,,,,0.5341466552917292,0.04508386348496647,0.03943878063460682,0.5651249871968611,0.08938695826757835,0.10840435766505922
9,2010-01-01T00:00:00,2012-12-23T00:00:00,2013-01-17T00:00:00,2013-07-16T00:00:00,2013-08-10T00:00:00,2014-02-06T00:00:00,249182,43424,42955,,,,0.5539009371290019,0.06639667461395857,0.07900372128421691,0.5789109247978611,0.1379507732626853,0.13782626463614822
10,2010-01-01T00:00:00,2013-03-23T00:00:00,2013-04-17T00:00:00,2013-10-14T00:00:00,2013-11-08T00:00:00,2014-05-07T00:00:00,271730,42861,42600,,,,0.5721855729422611,0.10353969483397994,0.1248475457325717,0.5449855361459228,0.05126417005842412,0.06254454767180538
11,2010-01-01T00:00:00,2013-06-21T00:00:00,2013-07-16T00:00:00,2014-01-12T00:00:00,2014-02-06T00:00:00,2014-08-05T00:00:00,292923,42954,43019,,,,0.5426203090073511,0.05812380594033673,0.07578632254686228,0.5241617621610526,0.023728609802151638,0.02870952653535389
12,2010-01-01T00:00:00,2013-09-19T00:00:00,2013-10-14T00:00:00,2014-04-12T00:00:00,2014-05-07T00:00:00,2014-11-03T00:00:00,314561,43665,42859,,,,0.5437783935033744,0.05520474210098796,0.06455727458934812,0.5574744468357599,0.09220553251432884,0.09037949221522118
13,2010-01-01T00:00:00,2013-12-18T00:00:00,2014-01-12T00:00:00,2014-07-11T00:00:00,2014-08-05T00:00:00,2015-02-01T00:00:00,335861,43694,42359,,,,0.5453858623338097,0.05887223017843889,0.05270610740898255,0.5658329419650716,0.09931730382055576,0.09003390361760491
14,2010-01-01T00:00:00,2014-03-18T00:00:00,2014-04-12T00:00:00,2014-10-09T00:00:00,2014-11-03T00:00:00,2015-05-02T00:00:00,357516,42444,43169,,,,0.5687107515412592,0.10516695855096009,0.10616319107076864,0.5600041446395901,0.08010792274136919,0.08740524497474449
15,2010-01-01T00:00:00,2014-06-16T00:00:00,2014-07-11T00:00:00,2015-01-07T00:00:00,2015-02-01T00:00:00,2015-07-31T00:00:00,378816,41954,44328,,,,0.5422335803523324,0.08037358868176589,0.030447080962472454,0.558979432646701,0.08066652054697562,0.09648364303673022
16,2010-01-01T00:00:00,2014-09-14T00:00:00,2014-10-09T00:00:00,2015-04-07T00:00:00,2015-05-02T00:00:00,2015-10-29T00:00:00,400616,42434,44829,,,,0.5717779677033588,0.11666703482636441,0.10837981634462161,0.5660461147419479,0.0937926466831896,0.10058007643770166
17,2010-01-01T00:00:00,2014-12-13T00:00:00,2015-01-07T00:00:00,2015-07-06T00:00:00,2015-07-31T00:00:00,2016-01-27T00:00:00,421432,43589,43361,,,,0.5681666947207858,0.09334688004120789,0.11834778979180485,0.5564487134525089,0.07918103430675098,0.07777353132952945
18,2010-01-01T00:00:00,2015-03-13T00:00:00,2015-04-07T00:00:00,2015-10-04T00:00:00,2015-10-29T00:00:00,2016-04-26T00:00:00,443389,44778,43109,,,,0.5613661377314254,0.08301433386834742,0.10154992896412499,0.5534774611891029,0.08826147494527,0.06904552451416511
19,2010-01-01T00:00:00,2015-06-11T00:00:00,2015-07-06T00:00:00,2016-01-02T00:00:00,2016-01-27T00:00:00,2016-07-25T00:00:00,465002,44318,45055,,,,0.5571591304044361,0.08647800943887754,0.07541877378975693,0.5534854482503161,0.09724009523671845,0.0818511340536587
20,2010-01-01T00:00:00,2015-09-09T00:00:00,2015-10-04T00:00:00,2016-04-01T00:00:00,2016-04-26T00:00:00,2016-10-23T00:00:00,488128,44073,46359,,,,0.5555151779843646,0.08872831494232121,0.07592351368535097,0.5380246147699156,0.06190432198141784,0.05223008978248362
21,2010-01-01T00:00:00,2015-12-08T00:00:00,2016-01-02T00:00:00,2016-06-30T00:00:00,2016-07-25T00:00:00,2017-01-21T00:00:00,508860,44947,47111,,,,0.5565597341401254,0.10676541764704324,0.08883956719644312,0.5474238198750829,0.0683024649621078,0.06557518682472832
22,2010-01-01T00:00:00,2016-03-07T00:00:00,2016-04-01T00:00:00,2016-09-28T00:00:00,2016-10-23T00:00:00,2017-04-21T00:00:00,531346,45452,47301,,,,0.5438889561251268,0.08065107018017484,0.06837822296850254,0.5225541126826977,0.0235067186723266,0.027239717009341042
23,2010-01-01T00:00:00,2016-06-05T00:00:00,2016-06-30T00:00:00,2016-12-27T00:00:00,2017-01-21T00:00:00,2017-07-20T00:00:00,553311,45749,47325,,,,0.5484219931555638,0.06561645446945491,0.06982661216067207,0.5386995112191404,0.051269454032085285,0.06622282449941054
24,2010-01-01T00:00:00,2016-09-03T00:00:00,2016-09-28T00:00:00,2017-03-27T00:00:00,2017-04-21T00:00:00,2017-10-18T00:00:00,577029,46768,48669,,,,0.5258017495672483,0.024961927799103403,0.029103776103749188,0.5588504821509572,0.10639705993167055,0.10635337311104578
