,importance
sector_relative__sector_rel_close,3592
regime__market_vol_20d,2967
technical__ema_50,2880
technical__ema_20,2693
volatility__vol_20d,2630
volatility__downside_vol_10d,2605
momentum__pct_from_120d_high,2605
technical__macd_signal,2469
momentum__momentum_ratio_10_30,2337
volatility__vol_10d,2178
atr__atr_pct_14,1994
atr__atr_14,1928
technical__macd,1875
turnover__volume_ratio_5_20,1812
momentum__ret_20d,1661
volatility__vol_ratio_short_long,1660
momentum__ret_10d,1627
volatility__vol_5d,1529
technical__rsi_14,1315
technical__boll_z,1296
sector_relative__sector_ret_z,1159
momentum__ret_5d,1150
sector_relative__sector_rank_pct,1150
momentum__ret_3d,1128
turnover__turnover_z_20,1089
turnover__turnover_trend_20,1071
regime__regime_is_bull,0
regime__regime_is_bear,0
