window_start,window_end,window_center,sample_count,feature_count,mean_ic,median_ic,std_ic,mean_rank_ic,median_rank_ic,positive_ic_ratio
2018-01-01,2018-09-10,2018-05-07,16109,60,0.0066965871833642495,0.006529775805755624,0.012456354211263678,0.013733857615867085,0.01625866068177416,0.8
2018-01-22,2018-10-01,2018-05-28,15774,60,0.004165560207908072,0.00040550593700760016,0.01615283074822753,0.01024509591093006,0.013456521161887093,0.5
2018-02-12,2018-10-22,2018-06-18,15721,60,0.005165159574002729,0.00521753576810827,0.014135535497525156,0.010091505888215538,0.008815637361499616,0.7
2018-03-05,2018-11-12,2018-07-09,15855,60,0.0015177763356189792,0.0022176686706789892,0.01723122961481168,0.006192955837814707,0.0026214039513963883,0.5333333333333333
2018-03-26,2018-12-03,2018-07-30,15805,60,0.00024305903123343438,-0.002999575959029193,0.020026380295428376,0.005184238133749077,0.003281841212114383,0.48333333333333334
2018-04-16,2018-12-24,2018-08-20,16011,60,-0.002938886488063597,-0.006375998350624398,0.02092335994943206,-1.7854264600215137e-05,-0.00325026663780403,0.36666666666666664
2018-05-07,2019-01-14,2018-09-10,16025,60,-0.0032178596362181884,-0.006930465387275488,0.020314000878116457,0.0002761635980302589,-0.0024091020503893444,0.36666666666666664
2018-05-28,2019-02-04,2018-10-01,16053,60,-0.0008927329106167043,-0.002370705987180837,0.020532342686879326,0.0036128572504779085,0.0015311983848488849,0.45
2018-06-18,2019-02-25,2018-10-22,16083,60,-0.003883699122882149,-0.0032829307472408806,0.027381948108276054,-0.0027102010478308523,-0.0023389121690194008,0.4
2018-07-09,2019-03-18,2018-11-12,16002,60,-0.005255413140731157,-0.005683841722043255,0.035879552354628794,-0.00728880848511233,-0.01253495253208067,0.36666666666666664
2018-07-30,2019-04-08,2018-12-03,15921,60,-0.009987035815872423,-0.010957103555557384,0.03673345099434141,-0.013129778038455775,-0.0151453400645652,0.35
2018-08-20,2019-04-29,2018-12-24,15846,60,-0.009202933718189752,-0.006191828774264858,0.03191803801061335,-0.009181209085682653,-0.008542607784674115,0.4
2018-09-10,2019-05-20,2019-01-14,15777,60,-0.012428120220774889,-0.016611517551584465,0.03457247468390111,-0.012189271046663265,-0.01929402624450171,0.3
2018-10-01,2019-06-10,2019-02-04,16090,60,-0.01405902535690475,-0.017489211247090346,0.03184891354993097,-0.01239283813277743,-0.014031370677145915,0.35
2018-10-22,2019-07-01,2019-02-25,16310,60,-0.013083223129518455,-0.010379039562304081,0.0255809741293565,-0.011930836561247526,-0.01060132143464641,0.3333333333333333
2018-11-12,2019-07-22,2019-03-18,16435,60,-0.009041059060584717,-0.006381175337167258,0.01741001000621103,-0.00871847744422693,-0.0036141294579364203,0.4
2018-12-03,2019-08-12,2019-04-08,16560,60,-0.0023817000294375852,0.0014815940033155069,0.014621297166133399,-0.0010441383316619893,0.002171963659979341,0.5666666666666667
2018-12-24,2019-09-02,2019-04-29,16396,60,-0.0005205019242046084,0.002026275140497886,0.01625200869918698,0.0013753942672279952,0.002911649542650818,0.5833333333333334
2019-01-14,2019-09-23,2019-05-20,16327,60,0.0002560281687870295,0.00248055713919116,0.016273210113566083,0.0021521930609633283,0.003984004876579602,0.5833333333333334
2019-02-04,2019-10-14,2019-06-10,16150,60,-0.005324298713878471,-0.007184706009727001,0.01750256774469173,-0.005495177260869471,-0.0017290445577386121,0.3333333333333333
