date,technical__ema_20,technical__ema_50,technical__macd,technical__macd_signal,technical__boll_z,technical__rsi_14,momentum__price_ret_1d,momentum__price_ret_3d,momentum__price_ret_5d,momentum__price_ret_10d,momentum__price_ret_20d,momentum__price_mom_5,momentum__price_mom_10,momentum__price_mom_20,momentum__momentum_ratio_10_30,momentum__pct_from_120d_high,momentum_enhanced__ma5_ratio,momentum_enhanced__ma20_ratio,momentum_enhanced__ma60_ratio,momentum_enhanced__mom_accel,momentum_enhanced__mom_quality,volatility__vol_5d,volatility__price_vol_10,volatility__price_vol_20,volatility__downside_vol_10d,volatility__vol_ratio_short_long,atr__atr_14,atr__atr_pct_14,turnover__volume_mean_20,turnover__volume_spike,turnover__turnover_z_20,turnover__turnover_trend_20,turnover__volume_ratio_5_20,ownership__fii_change_5d,ownership__dii_change_5d,ownership__ownership_spread,ownership__ownership_trend_20d,ownership__fii_to_dii_ratio,delivery__deliv_ratio,delivery__deliv_ratio_mean_5,delivery__deliv_ratio_mean_10,delivery__deliv_ratio_mean_20,delivery__deliv_ratio_change_10,delivery__deliv_value,delivery__deliv_value_mean_20,delivery__deliv_value_spike,delivery__deliv_vs_price_mom_10,delivery__deliv_vs_price_corr_10,delivery__delivery_z,delivery__delivery_spike,delivery__delivery_trend_5d,delivery__delivery_ratio_5_20,fundamental__pe_ratio,fundamental__pb_ratio,fundamental__ps_ratio,fundamental__ep_ratio,fundamental__pe_sector_rel,fundamental__pe_sector_z,fundamental__pe_sector_rank,fundamental__value_composite,fundamental__roe,fundamental__roa,fundamental__gross_margin,fundamental__operating_margin,fundamental__net_margin,fundamental__roe_sector_z,fundamental__roe_sector_rank,fundamental__profitability_composite,fundamental__roe_trend_4q,fundamental__debt_to_equity,fundamental__current_ratio,fundamental__quick_ratio,fundamental__cash_to_debt,fundamental__financial_strength,fundamental__accruals,fundamental__cf_to_ni,fundamental__accruals_sector_z,fundamental__quality_score,sector_relative__sector_mom_10_z,sector_relative__sector_vol_20_z,sector_relative__sector_ret_10d_z,sector_relative__sector_ret_z,sector_relative__sector_rank_pct,sector_relative__sector_rel_close,mean_reversion__dist_from_200ma,mean_reversion__dist_from_50ma,mean_reversion__dist_from_200ma_pct,mean_reversion__price_vs_ma_ratio_50,mean_reversion__price_vs_ma_ratio_200,mean_reversion__rsi_extreme_low,mean_reversion__rsi_extreme_high,mean_reversion__rsi_distance_from_50,mean_reversion__bollinger_position,mean_reversion__bollinger_squeeze,mean_reversion__oversold_signal,mean_reversion_enhanced__dist_to_max_20d,mean_reversion_enhanced__dist_to_min_20d,mean_reversion_enhanced__range_position_20d,mean_reversion_enhanced__recent_extreme_ratio,volume_enhanced__pv_corr_10d,volume_enhanced__pv_corr_20d,volume_enhanced__vol_trend,volume_enhanced__vol_spike,ranking__ret_20d_rank,ranking__vol_20_rank,ranking__volume_rank,orthogonal__idio_ret_10d,orthogonal__idio_vol_20
2020-01-01,724,512,349,515,46,104,59,62,59,104,63,28,37,33,399,377,92,98,207,182,19,112,412,303,366,183,331,402,734,62,72,79,195,0,0,0,0,0,136,418,387,515,306,145,707,70,291,120,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,402,71,105,94,407,644,153,470,74,405,1,2,109,21,551,0,100,73,70,108,304,529,203,41,188,244,524,285,683
2020-01-31,646,539,376,539,45,103,60,57,69,139,99,15,59,33,347,381,69,96,208,189,36,163,407,412,343,248,383,339,726,65,94,89,242,0,0,0,0,0,172,397,431,506,300,137,746,89,284,122,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,554,72,94,95,501,607,139,497,61,438,0,0,106,17,634,0,104,115,55,90,250,571,131,51,217,203,531,274,720
2020-03-01,635,629,392,569,50,103,47,37,73,134,91,24,54,37,338,398,80,80,220,198,25,135,447,402,391,200,406,382,892,59,109,106,209,0,0,0,0,0,152,385,433,522,269,137,772,91,270,99,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,524,61,113,108,521,572,169,509,60,401,1,3,110,22,596,0,87,124,66,69,238,605,170,38,194,207,500,307,738
2020-03-31,659,575,370,547,77,111,46,50,50,158,86,33,73,18,348,390,115,116,195,236,53,185,500,409,360,233,349,341,856,95,95,113,187,0,0,0,0,0,166,417,482,522,303,107,761,106,332,111,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,548,90,137,80,536,657,149,542,57,376,2,1,106,27,625,0,96,96,71,73,228,643,142,55,279,205,537,281,746
2020-04-30,757,608,380,590,74,96,48,44,60,142,93,29,58,34,333,343,109,98,225,248,31,137,498,376,405,272,448,356,745,106,107,83,184,0,0,0,0,0,195,425,558,549,344,146,826,75,297,120,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,526,89,209,79,530,647,122,572,72,330,0,1,76,35,630,1,100,104,59,69,276,581,175,38,221,301,550,369,679
2020-05-30,777,584,375,620,89,121,38,31,72,143,90,23,60,24,321,413,109,94,191,293,43,114,431,387,385,206,443,413,835,76,90,83,176,0,0,0,0,0,155,402,455,528,298,184,716,87,341,116,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,475,95,200,103,551,625,147,479,49,393,1,0,107,20,572,0,117,107,67,76,199,616,162,44,248,273,594,346,687
2020-06-29,678,508,353,586,69,106,61,37,87,160,72,38,71,23,217,449,106,122,197,279,47,119,398,353,363,198,456,408,863,88,114,76,208,0,0,0,0,0,221,440,450,505,248,146,720,90,289,99,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,472,88,203,90,492,567,189,466,69,401,4,0,112,25,546,0,135,145,76,54,222,582,146,35,225,245,569,380,668
2020-07-29,652,556,417,614,67,142,47,28,97,118,84,42,45,33,241,435,137,96,193,322,54,137,408,327,353,215,487,364,883,95,106,83,178,0,0,0,0,0,195,406,543,484,329,152,657,74,309,120,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,455,85,214,108,473,516,175,446,97,327,5,0,124,24,582,0,132,156,106,71,210,605,168,34,247,249,525,361,754
2020-08-28,744,605,361,567,64,134,37,34,84,125,95,28,52,31,256,406,102,79,192,245,44,119,370,282,342,175,484,365,851,98,60,79,183,0,0,0,0,0,163,403,452,510,347,154,712,82,316,136,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209,474,105,187,87,518,493,173,529,124,386,1,0,139,27,581,0,128,135,87,73,249,623,162,16,251,229,485,345,722
2020-09-27,738,659,369,584,57,107,49,23,93,137,81,31,61,35,258,427,119,76,208,249,70,126,390,301,370,212,444,310,869,84,95,115,185,0,0,0,0,0,177,413,455,510,307,199,663,66,311,116,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,457,107,195,79,487,544,195,481,119,418,0,0,111,26,592,0,147,128,75,79,216,691,161,34,225,236,494,321,726
