,importance
sector_momentum__sector_dispersion_60d,1886
sector_momentum__sector_dispersion_20d,1529
turnover__volume_mean_20,1305
sector_momentum__sector_momentum_60d,927
momentum__pct_from_120d_high,916
mean_reversion__price_vs_ma_ratio_200,869
technical__ema_50,869
mean_reversion__dist_from_200ma_pct,843
orthogonal__idio_vol_20,821
sector_momentum__sector_rank,791
sector_relative__sector_rel_close,785
mean_reversion__dist_from_200ma,754
ranking__volume_rank,740
mean_reversion__bollinger_squeeze,728
sector_momentum__sector_dispersion_5d,717
volume_enhanced__pv_corr_20d,650
technical__ema_20,643
atr__atr_pct_14,600
technical__macd_signal,583
momentum_enhanced__ma60_ratio,571
sector_relative__sector_vol_20_z,546
volatility__downside_vol_10d,475
atr__atr_14,475
volatility__price_vol_20,474
momentum__momentum_ratio_10_30,460
technical__macd,457
volume_enhanced__pv_corr_10d,409
ranking__ret_20d_rank,355
sector_momentum__sector_momentum_20d,325
volume_enhanced__vol_trend,313
momentum_enhanced__ma20_ratio,303
ranking__vol_20_rank,292
volatility__price_vol_10,277
momentum_enhanced__ma5_ratio,272
turnover__volume_ratio_5_20,270
turnover__volume_spike,251
mean_reversion_enhanced__dist_to_max_20d,238
mean_reversion__dist_from_50ma,235
volatility__vol_5d,223
sector_relative__sector_mom_10_z,223
mean_reversion_enhanced__dist_to_min_20d,206
mean_reversion__rsi_distance_from_50,198
turnover__turnover_trend_20,189
volatility__vol_ratio_short_long,170
sector_momentum__sector_momentum_5d,164
mean_reversion__price_vs_ma_ratio_50,163
momentum_enhanced__mom_accel,157
momentum__price_ret_10d,154
momentum__price_ret_20d,141
technical__rsi_14,140
sector_relative__sector_rank_pct,127
orthogonal__idio_ret_10d,127
momentum__price_ret_1d,126
turnover__turnover_z_20,120
momentum_enhanced__mom_quality,112
technical__boll_z,103
momentum__price_ret_5d,102
sector_relative__sector_ret_z,101
fundamental__current_ratio_sector_z,99
momentum__price_ret_3d,99
fundamental__revenue_growth_stability,96
sector_relative__sector_ret_10d_z,95
mean_reversion_enhanced__range_position_20d,94
mean_reversion_enhanced__recent_extreme_ratio,88
fundamental__ps_sector_rel,79
momentum__price_mom_20,71
volume_enhanced__vol_spike,56
fundamental__gross_margin,56
momentum__price_mom_10,54
momentum__price_mom_5,53
fundamental__ps_ratio,47
fundamental__cash_to_debt,44
mean_reversion__bollinger_position,44
fundamental__current_ratio,41
fundamental__ps_sector_z,40
fundamental__cf_to_ni,33
fundamental__roa,32
fundamental__revenue_growth_yoy,30
fundamental__quick_ratio,27
fundamental__net_margin_sector_z,27
fundamental__operating_margin,24
fundamental__pe_ratio,23
fundamental__accruals,21
fundamental__roe_sector_z,20
fundamental__roe_trend_4q,20
fundamental__net_margin,18
fundamental__roe,18
fundamental__profitability_composite,17
fundamental__accruals_sector_z,17
fundamental__sp_ratio,15
fundamental__debt_to_equity,15
fundamental__debt_to_equity_sector_z,15
fundamental__roa_sector_z,13
fundamental__pb_sector_rel,13
fundamental__value_composite,13
fundamental__eps_growth_yoy,11
fundamental__earnings_growth_yoy,10
fundamental__pb_sector_z,10
fundamental__revenue_acceleration,8
fundamental__quality_score,7
fundamental__financial_strength,7
fundamental__pb_ratio,6
fundamental__margin_expansion_4q,6
mean_reversion__oversold_signal,5
mean_reversion__rsi_extreme_high,4
fundamental__bp_ratio,4
fundamental__roe_sector_rank,3
fundamental__pb_sector_rank,1
mean_reversion__rsi_extreme_low,1
fundamental__revenue_growth_sector_z,0
fundamental__earnings_growth_sector_z,0
